task,best_threshold,prior,num_of_pos,num_of_pred_pos
MONDO:0001657,0.0259077574770277,0.00819000819000819,30,17
MONDO:0002334,0.1426709130021924,0.12268770402611534,451,21467
MONDO:0021678,0.0052828280432012,0.0029989094874591058,11,3
MONDO:0015925,0.1413428375362563,0.005714285714285714,21,28
MONDO:0005560,0.2930061631888364,0.14744287268770404,542,3373
MONDO:0000637,0.0982588592130022,0.05296205296205296,194,6056
MONDO:0004970,0.2528771267607962,0.10628415300546448,389,5681
MONDO:0005211,0.0203047663442682,0.003303964757709251,12,352
MONDO:0002269,0.0623078907347149,0.008977149075081611,33,174
MONDO:0006130,0.1666819172048298,0.05930359085963003,218,2550
MONDO:0000426,0.0085142095922357,0.0073449401523395,27,896
MONDO:0002427,0.026637465459895,0.010065288356909684,37,378
MONDO:0020010,0.0084688071051806,0.0054466230936819175,20,23
MONDO:0005876,0.0242210198884143,0.0032697547683923707,12,305
MONDO:0021076,0.0471910941512346,0.00816326530612245,30,1105
MONDO:0003916,0.1795821313333957,0.010337323177366704,38,73
MONDO:0000437,0.0040220864667411,0.0035364526659412403,13,241
MONDO:0015144,0.0039742049742743,0.003264417845484222,12,81
MONDO:0006181,0.1417723906289326,0.06531839300355288,239,7075
MONDO:0005004,0.0121930412648793,0.0038272279934390375,14,172
MONDO:0024757,0.0116597349320478,0.0032653061224489797,12,46
MONDO:0019496,0.0141852046823648,0.00598639455782313,22,555
MONDO:0015860,0.0039655111649054,0.003264417845484222,12,401
MONDO:0019127,0.008099646548812,0.0029923830250272033,11,201
MONDO:0004950,0.0411057841446145,0.004387167534960241,16,418
MONDO:0024882,0.0113261876333484,0.006256800870511426,23,806
MONDO:0020121,0.0226537709459398,0.008161044613710556,30,1915
MONDO:0006975,0.0098058637224406,0.00544069640914037,20,167
MONDO:0016072,0.0039656259485404,0.003264417845484222,12,401
MONDO:0001358,0.0382800759343361,0.007072905331882481,26,194
MONDO:0005301,0.1013298161804214,0.01880108991825613,69,321
MONDO:0006244,0.0322396556491209,0.004555808656036446,16,114
MONDO:0002614,0.0619845754916284,0.016594124047878127,61,577
MONDO:0016107,0.0130387752553626,0.0029923830250272033,11,60
MONDO:0004805,0.1535433889183849,0.05495103373231774,202,2455
MONDO:0002974,0.0516779538166173,0.00546000546000546,20,116
MONDO:0005002,0.1134975656885486,0.005714285714285714,21,53
MONDO:0024355,0.0282881523995514,0.010078997548351948,37,1007
MONDO:0002913,0.0134888503678748,0.006528835690968444,24,428
MONDO:0004670,0.0145294646324715,0.006802721088435374,25,441
MONDO:0015447,0.1506991118141636,0.004652435686918446,17,58
MONDO:0000872,0.0105266818629699,0.0038599393438103115,14,35
MONDO:0024881,0.017215149258378,0.006279006279006279,23,90
MONDO:0044986,0.0080842642605397,0.00544069640914037,20,283
MONDO:0003382,0.0049447202225735,0.004080522306855278,15,3425
MONDO:0100137,0.0324437088423692,0.004624591947769314,17,25
MONDO:0002715,0.025963817785031,0.008736008736008737,32,420
MONDO:0004988,0.0599821223080955,0.008262108262108263,29,756
MONDO:0021637,0.017137667552308,0.008707482993197279,32,923
MONDO:0005454,0.0124449656517611,0.0029948271167982575,11,76
MONDO:0000473,0.0918833944485999,0.01578231292517007,58,174
MONDO:0004985,0.0316354978396815,0.009793253536452665,36,150
MONDO:0005626,0.309242646793133,0.17763873775843309,653,15294
MONDO:0019755,0.0395133271149641,0.0220348204570185,81,871
MONDO:0003105,0.0383849602763108,0.0220348204570185,81,3657
MONDO:0020122,0.0080988513575564,0.0029923830250272033,11,201
MONDO:0005249,0.012993506410799,0.0038147138964577656,14,53
MONDO:0006509,0.028871444842517,0.005191256830601093,19,248
MONDO:0024237,0.111560623654225,0.02288204848815037,84,239
MONDO:0024664,0.0277177961460584,0.0032653061224489797,12,28
MONDO:0005575,0.0925279880483991,0.04014199890770071,147,3587
MONDO:0000588,0.0104923530709544,0.005442176870748299,20,233
MONDO:0004975,0.1114106914096697,0.027808069792802616,102,931
MONDO:0004972,0.0170322697656727,0.008979591836734694,33,526
MONDO:0021094,0.0076801722705636,0.004896626768226333,18,14
MONDO:0024296,0.0116557396638325,0.0032653061224489797,12,46
MONDO:0019751,0.0151703678040187,0.004896626768226333,18,48
MONDO:0002320,0.0101182554431195,0.006800870511425462,25,239
MONDO:0004967,0.0778371078793135,0.028407538923791314,104,1522
