task	best_threshold	prior	log2(auprc/prior)
MONDO:0021063	0.0463793460387757	0.008298755186721992	6.031016860259966
MONDO:0021043	0.0147889691989932	0.006793478260869565	5.406445966043632
MONDO:0008315	0.0426260123881763	0.021828103683492497	5.407977099546726
MONDO:0005113	0.0496528087190211	0.0163265306122449	5.84417887852436
MONDO:0005060	0.0217545000349062	0.004098360655737705	7.373255573263837
MONDO:0015823	0.0052842014406225	0.004076086956521739	6.599612343323119
MONDO:0005147	0.0163172742384296	0.004087193460490463	7.371406322500219
MONDO:0005109	0.0286005832548309	0.010899182561307902	6.250029193085933
MONDO:0024615	0.0173150642447199	0.005442176870748299	6.678814389416485
MONDO:0015131	0.0043049507567053	0.004076086956521739	7.813068573251997
MONDO:0021085	0.2607179517474194	0.008152173913043478	6.7821367137001065
MONDO:0005011	0.0215700696589311	0.005442176870748299	7.14609130463152
MONDO:0007739	0.1252931028619759	0.012244897959183673	6.182569917145651
MONDO:0017342	0.0366696900537412	0.012228260869565218	5.296973284662586
MONDO:0000402	0.0097253679220681	0.004098360655737705	6.575642378740325
MONDO:0700223	0.0530115643210426	0.009510869565217392	6.16807192857202
MONDO:0021042	0.103757190179213	0.043478260869565216	4.303165491218492
MONDO:0000618	0.0306761681466963	0.005689900426742532	6.932623012557294
MONDO:0011719	0.0063966113182617	0.004076086956521739	7.813068573251997
MONDO:0018744	0.0162921864515701	0.004132231404958678	7.918863237274595
MONDO:0021058	0.0510723207763086	0.006793478260869565	6.200341153040659
MONDO:0002924	0.0053773934962554	0.004092769440654843	7.6207628810979156
MONDO:0044334	0.0202294790618354	0.01358695652173913	5.361081107314369
MONDO:0005381	0.2105300993032692	0.07608695652173914	3.4336221540243033
MONDO:0005015	0.0314051374053458	0.013605442176870748	5.788455195901595
MONDO:0015075	0.0796221837522418	0.00546448087431694	7.515699838284043
MONDO:0019052	0.0234445363146885	0.014965986394557823	4.658971464301456
MONDO:0009693	0.0264739314710521	0.013679890560875513	6.107606374426255
MONDO:0005240	0.0334337448769747	0.020380434782608696	5.438097736311605
MONDO:0005059	0.2082960033091415	0.07482993197278912	3.576789635763013
MONDO:0005082	0.0511672900749565	0.004155124653739612	7.251929444001082
MONDO:0005083	0.1380297438586735	0.008152173913043478	6.862186339816689
MONDO:0005371	0.0563750583485648	0.017663043478260868	5.713690165692639
MONDO:0018532	0.084050227981847	0.0273972602739726	4.8423462864454665
MONDO:0021635	0.202469189943749	0.07472826086956522	3.6017558445516347
MONDO:0005165	0.0493019714787162	0.014945652173913044	5.362746581499285
MONDO:0015760	0.0165997647229233	0.004087193460490463	7.934673752122056
MONDO:0045048	0.0277067121218196	0.004081632653061225	7.93663793900257
MONDO:0000568	0.098781417709771	0.017687074829931974	5.629482560976546
MONDO:0002616	0.012291605368132	0.009510869565217392	6.146089370870317
MONDO:0018506	0.006395297733983	0.004076086956521739	7.813068573251997
MONDO:0015327	0.0100869535808075	0.005442176870748299	6.548821908458751
MONDO:0005168	0.0958157836739415	0.027210884353741496	4.921696080572684
MONDO:0020665	0.0983667531870296	0.04229195088676671	4.432345980486851
MONDO:0700124	0.0259745065118994	0.008152173913043478	6.824942673540289
MONDO:0005503	0.0939903650636476	0.02309782608695652	5.343438865237205
MONDO:0044347	0.0070690192344243	0.004076086956521739	7.938599455335857
MONDO:0016743	0.0335481879166664	0.004076086956521739	7.938599455335857
MONDO:0005081	0.0277211479580614	0.004081632653061225	7.93663793900257
MONDO:0002515	0.0820455889887126	0.04076086956521739	4.536849611928307
MONDO:0005335	0.1401844829900582	0.042119565217391304	4.410734996025755
MONDO:0000870	0.0139544273762887	0.005502063273727648	6.453344134025459
MONDO:0019781	0.0053436361961456	0.004081632653061225	5.420859003427415
MONDO:0000649	0.0055290241780659	0.004092769440654843	7.932706887412656
MONDO:0005140	0.0167336468443061	0.006858710562414266	7.102958011853062
MONDO:0021068	0.0366774324176292	0.013605442176870748	6.089248355142714
MONDO:0015074	0.0083377607969555	0.005442176870748299	7.191451838031396
MONDO:0011122	0.1715698993241384	0.010869565217391304	6.341805194257353
MONDO:0003996	0.0851665560726206	0.029891304347826088	4.952064554648915
MONDO:0020158	0.0229119804412283	0.004076086956521739	7.675565049502063
MONDO:0021163	0.0319401595085859	0.013605442176870748	6.0022430738080175
MONDO:0002149	0.1189118999594248	0.04365620736698499	4.375232549366136
MONDO:0024637	0.0171783808903953	0.01227830832196453	4.518176997268247
MONDO:0003620	0.020864721388642	0.01358695652173913	5.19468249468621
MONDO:0002356	0.0488869462373624	0.024489795918367346	4.958877406344381
MONDO:0005159	0.0153051629561304	0.006915629322268326	6.2489278328655455
MONDO:0002263	0.1313020867129083	0.033967391304347824	4.7726116792591045
MONDO:0005170	0.1302299106396969	0.05986394557823129	3.940606961058223
MONDO:0005008	0.0692011352297933	0.018005540166204988	4.71730769219602
MONDO:0002175	0.0067771852145284	0.004081632653061225	7.673603533168777
MONDO:0009831	0.0232294546505268	0.01227830832196453	6.209297616722355
MONDO:0008608	0.0259813767312677	0.008152173913043478	6.824942673540289
MONDO:0006808	0.1099700365863072	0.004081632653061225	7.811107056918711
MONDO:0005206	0.0222498402782278	0.01092896174863388	6.330468531201051
MONDO:0007179	0.1560295309819035	0.04755434782608696	4.310980693751057
MONDO:0017341	0.0341243982033042	0.01358695652173913	5.410651551194231
MONDO:0015159	0.0338870172699385	0.005434782608695652	6.858546203769821
MONDO:0002491	0.0211669848389195	0.004076086956521739	7.309242835256247
MONDO:0023370	0.610011972555962	0.5434782608695652	0.8679992953132145
MONDO:0037255	0.0959982793280049	0.004081632653061225	7.811107056918711
MONDO:0018230	0.0062465543943373	0.004076086956521739	7.356574237694254
MONDO:0020641	0.1361480954979906	0.042119565217391304	4.137776488521029
MONDO:0002752	0.0343650072654329	0.0041265474552957355	7.583814065920867
MONDO:0001071	0.0057884313319371	0.004076086956521739	6.512835549463954
MONDO:0002532	0.13010874280683	0.021768707482993196	5.092412733296078
MONDO:0002009	0.0348296330692791	0.009510869565217392	6.601874358520414
MONDO:0021682	0.0285839016999161	0.010899182561307902	6.250029193085933
MONDO:0100120	0.0419841569172508	0.010884353741496598	6.274101183848665
MONDO:0002714	0.1214540540952093	0.04638472032742155	4.209268535591391
