node,IC
CL:0000232,8.057250777964818
CL:0000329,7.874929221170863
CL:0000233,9.666688690398917
CL:0000458,8.280394329279027
CL:0000234,6.958638489296707
CL:0000473,6.894099968159136
CL:0000235,7.364103597404871
CL:0000945,5.322883268545233
CL:0000236,5.404008813357602
CL:0000240,7.0276313607836585
CL:0000237,7.181782040610917
CL:0000311,7.0276313607836585
CL:0000239,8.280394329279027
CL:0000242,8.973541509838972
CL:0000312,7.469464113062697
UBERON:0002025,8.280394329279027
CL:0000244,7.587247148719081
CL:0000255,2.53020548180867
CL:0000257,9.666688690398917
CL:0000287,8.057250777964818
UBERON:0000970,3.826047033025519
CL:0000293,8.568076401730808
CL:0000295,8.973541509838972
CL:0000300,7.587247148719081
CL:0000306,8.280394329279027
CL:0000307,8.280394329279027
UBERON:0003126,6.232701485913771
CL:0000362,6.833475346342701
UBERON:0001003,4.484905140106832
CL:0000313,7.720778541343604
CL:0000314,8.973541509838972
CL:0000317,8.973541509838972
CL:2000021,8.568076401730808
UBERON:0001821,6.575646237040601
CL:0010003,8.057250777964818
